Frequency of Total,Dollars In This PC,Purpose Code,Conner Estimate,Jamie Estimate,Final Estimate,Spider Estimate,Score,Score w/o PC,,
1.00E-05,"$220,444.00",CABLE MEDIA BUY,,,,,,,,
1.00E-05,$389.12,NEWSPAPER AD - NC,,,,,,,,
1.00E-05,$386.58,NEWSPAPER AD - MO,,,,,,,,
1.00E-05,"$4,998.00",10/31 TO 11/2 TELEVISION ADVERTISING,,,,,,,,
1.00E-05,$322.54,NEWSPAPER AD - KS,,,,,,,,
1.00E-05,$339.20,NEWSPAPER AD - IN,,,,,,,,
1.00E-05,"$8,000.00",WEBSITE VIDEOS,,,,,,,,
1.00E-05,"$3,750.00",CONSULTING; 9/1-9/30 (ESTIMATE),,,,,,,,
1.00E-05,"$7,721.01",CONTACT LIST: CONTRIBUTION IN KIND,,,,,,,,
1.00E-05,$149.77,IE-MATHIS-EMAIL/SOCIAL MEDIA/PRINTING,,,,,,,,
1.00E-05,"$28,500.00",IE-MATHIS-ONLINE ADS,,,,,,,,
1.00E-05,"$19,200.00",PRINTING FOR CANVASS DOORHANGER,,,,,,,,
1.00E-05,$645.28,PRINTING FOR EMC MAILING,,,,,,,,
1.00E-05,"$190,632.28",IE-MCCAIN-DIRECT MAIL,,,,,,,,
1.00E-05,"$69,354.04",IE-DESANTIS-DIRECT MAIL PRODUCTION,,,,,,,,
1.00E-05,"$30,622.08",POST-PRODUCTION AND TRANSMISSION FEES,,,,,,,,
1.00E-05,"$1,805.15",IE-DAVIDSON-DONATION PROCESSING,,,,,,,,
1.00E-05,"$49,613.00",TV MEDIA PRODUCTION:  ?ROBBED?,,,,,,,,
1.00E-05,"$10,420.00",IE-MCCASKILL-MEDIA BUY,,,,,,,,
1.00E-05,"$1,395.20",IE-DASHER-ONLINE PROCESSING,,,,,,,,
1.00E-05,"-$81,400.26",ONLINE ADVERTISING-ALSO OPPOSES TRUMP AND CRUZ/AD CHANGE,,,,,,,,
1.00E-05,"$29,377.12",TV MEDIA BUYS,,,,,,,,
1.00E-05,"$32,710.30",IE-DASHER-EMAIL LIST RENTAL,,,,,,,,
1.00E-05,"$217,000.00",IE-CURBELO-ONLINE ADS-ESTIMATED,,,,,,,,
1.00E-05,"$1,300.00",CORPORATE WELFARE PALM CARDS,,,,,,,,
1.00E-05,"$395,040.00",IE-MCCONNELL-MEDIA BUY,,,,,,,,
1.00E-05,$437.50,CONSULTING FOR FIELD PROGRAM; 10/1 - 10/18 (ESTIMATE),,,,,,,,
1.00E-05,$267.45,NEWSPAPER AD - SC,,,,,,,,
1.00E-05,"$60,647.76",TV/MEDIA PRODUCTION / RADIO PRODUCTION,,,,,,,,
1.00E-05,"$4,675.00",10/29 TELEVISION ADVERTISING,,,,,,,,
1.00E-05,"$42,533.96",CATHERINE AGAINST NEVADA MAILERS,,,,,,,,
1.00E-05,"$1,910.35",ONLINE ADVERTISING - VOTER GUIDE,,,,,,,,
1.00E-05,"$206,403.00",ONLINE ADVERTISING -- PRODUCTION AND PLACEMENT,,,,,,,,
1.00E-05,$613.87,IE-LOVE-EST. STAFF & OVERHEAD,,,,,,,,
1.00E-05,$18.08,STAFF & EMC HD EMAIL,,,,,,,,
1.00E-05,"$36,961.89",POSTAGE AND PRINTING FOR MAIL PIECES,,,,,,,,
1.00E-05,"$9,605.32",NJ POLITITRACKER,,,,,,,,
1.00E-05,"$14,250.00",VIDEO PRODUCTION OF 1 MINUTE INTERNET AD ROGUES GALLERY,,,,,,,,
1.00E-05,"$3,869,160.48",TV/DIGITAL ADVERTISING,,,,,,,,
1.00E-05,"$800,000.00",TV/DIGITAL ADS & PRODUCTION-ESTIMATE,,,,,,,,
1.00E-05,"$58,905.00",SPANISH TV AD,,,,,,,,
1.00E-05,"$917,881.00",TV/CABLE ADVERTISING BUY,,,,,,,,
1.00E-05,$294.68,"TV, RADIO AD PRODUCTION COSTS (FROM ADVANCE LINE 21)",,,,,,,,
1.00E-05,"$111,176.68",IE-FLAKE-SIGNAGE,,,,,,,,
1.00E-05,"$28,800.00",IE-MACK-GRASSROOTS ORGANIZING,,,,,,,,
1.00E-05,"$75,000.00",WEEKLY PAYMENT DIGITAL MEDIA,,,,,,,,
1.00E-05,"$23,050.00",IE-FLAKE-GRASSROOTS ORGANIZING,,,,,,,,
1.00E-05,"$2,404.74",PRINTING AND SHIPPING - CAMPAIGN BUTTONS,,,,,,,,
1.00E-05,"$3,326.00",NEWSPAPER AD ON 10/31/2014,,,,,,,,
1.00E-05,"$1,025.00",NEWSPAPER AD DESIGN,,,,,,,,
1.00E-05,"$6,898.53",NEWSPAPER AD BEGINNING 11/2/2014,,,,,,,,
1.00E-05,"$4,700.00",PRINTING AND SHIPPING OF HANDBILL,,,,,,,,
1.00E-05,"$118,613.00",CONSULTANTS - CANVASSING,,,,,,,,
1.00E-05,"$364,085.00",IE-ERNST-MEDIA BUY,,,,,,,,
1.00E-05,"$2,820.85",PRINTING CAMPAIGN MATERIALS,,,,,,,,
1.00E-05,"$92,675.57",IE-ERNST-DIRECT MAIL PRODUCTION,,,,,,,,
1.00E-05,$404.73,NEWSPAPER AD - WI,,,,,,,,
1.00E-05,"$1,647,055.00",BROADCAST AND CABLE TV,,,,,,,,
1.00E-05,"$1,496,756.38",MEDIA BUY; ALSO OPPOSES NEWT GINGRICH AND SUPPORTS MITT ROMNEY,,,,,,,,
1.00E-05,"$1,865,491.00",MEDIA BUY-TV,,,,,,,,
1.00E-05,"$50,408.00","DIGITAL ADVERTISING, NON EARLY VOTERS",,,,,,,,
1.00E-05,"$60,000.00",DIGITAL ADVERTISING SUPPORTING DONALD TRUMP,,,,,,,,
1.00E-05,"$7,837.00",PAC TV ADVERTISING MEDIA BUY,,,,,,,,
1.00E-05,"$509,906.00",MEDIA BUY - TV AND DIGITAL,,,,,,,,
1.00E-05,"$8,698.20",HOTEL EXPENSE FOR PHONE BANK STAFF,,,,,,,,
1.00E-05,"$327,401.17",MEDIA BUY-DIGITAL,,,,,,,,
1.00E-05,"$7,954.00",PRODUCTION COSTS - HOUSEWIVES AD,,,,,,,,
1.00E-05,"$19,000.00",GOTV MOBILE CAMPAIGN,,,,,,,,
1.00E-05,"-$634,366.76",MEDIA PLACEMENT-ALSO OPPOSES TRUMP AND CRUZ/AD CHANGE,,,,,,,,
1.00E-05,$678.04,HOTEL ROOM,,,,,,,,
1.00E-05,"$48,555.27",PRODUCTION FOR NATIONAL CABLE MEDIA BUY ON FOX NEWS CHANNEL,,,,,,,,
1.00E-05,"$2,199.83",ACCOUNTING SERVICES,,,,,,,,
1.00E-05,"$1,008.00",9/27 TO 10/2 RADIO ADVERTISING,,,,,,,,
1.00E-05,"$64,195.56",TELEPHONE VOTER CONTACT (ALSO OPPOSES ROMNEY),,,,,,,,
1.00E-05,"$24,329.32",IE-RUBIO-EMAIL LISTS,,,,,,,,
1.00E-05,$844.43,IE-RUBIO-EMAIL USAGE,,,,,,,,
1.00E-05,"$2,936.30",IE-PRINTING-COMSTOCK,,,,,,,,
1.00E-05,"$672,181.55",TV ADVERTISEMENT 'DISHONORABLE',,,,,,,,
1.00E-05,"$11,245.56",TELEPHONE VOTER OUTREACH DEVELOPMENT AND MANAGEMENT,,,,,,,,
1.00E-05,$287.64,PRINT PLEDGE TO VOTE CARDS AT FEDEX,,,,,,,,
1.00E-05,"$675,442.50",MEDIA BUY - CABLE,,,,,,,,
1.00E-05,"$8,095.09",GET OUT THE VOTE POSTCARDS,,,,,,,,
1.00E-05,"$12,563.27",GET OUT THE VOTE POSTCARD,,,,,,,,
1.00E-05,"$8,800.00",DIGITAL ADVERTISING - STRATEGIC CREATIVE & PLACEMENT,,,,,,,,
1.00E-05,"$30,545.45",IE-RUBIO-WEB ADS,,,,,,,,
1.00E-05,"$30,766.66",DIGITAL PRODUCTION,,,,,,,,
1.00E-05,"$10,223.30",TEAMSTERS FOR OBAMA BUMPER STICKERS,,,,,,,,
1.00E-05,"$51,946.29",IE-RADIO-PERDUE,,,,,,,,
1.00E-05,$676.00,ORGANIZER COORDINATOR,,,,,,,,
1.00E-05,"$260,460.84",MEDIA BUY; ALSO OPPOSED RICK SANTORUM 4/10 - 4/11,,,,,,,,
1.00E-05,"$39,200.00",PRODUCTION COSTS - REGULAR GUY,,,,,,,,
1.00E-05,"-$1,617,578.73",MEDIA PLACEMENT-AD CHANGE,,,,,,,,
1.00E-05,$860.00,5/29 RADIO ADVERTISING,,,,,,,,
1.00E-05,"$9,626.48",DIGITAL ADVERTISING-ESTIMATED COSTS,,,,,,,,
1.00E-05,"$160,000.00",GRASSROOTS CANVASSING,,,,,,,,
1.00E-05,"$1,222,043.85",PRODUCTION AND TIME BUY FOR RADIO AD,,,,,,,,
1.00E-05,"$105,000.00",DIGITAL MEDIA ADVERTISING,,,,,,,,
1.00E-05,"$1,542,333.33",DIGITAL MEDIA BUY AND PRODUCTION,,,,,,,,
1.00E-05,"$649,980.00",DIGITAL MEDIA BUY AND PRODUCTION EXPENSE (ESTIMATED),,,,,,,,
1.00E-05,"$2,000.00",9/27 TO 9/30 RADIO ADVERTISING,,,,,,,,
1.00E-05,"$40,468.28",DIRECT  MAIL,,,,,,,,
1.00E-05,"$128,250.00",MEDIA BUY FOR TV AD,,,,,,,,
1.00E-05,"$10,699.85",PAC SIGN PRINTING,,,,,,,,
1.00E-05,"$33,944.62",PAC SIGNS,,,,,,,,
1.00E-05,"$3,765.64",TELECONFERENCING SERVICES,,,,,,,,
1.00E-05,"$3,250.00",DIGITAL DISTRIBUTION OF MEDIA,,,,,,,,
1.00E-05,"$2,813.81",IE-RAESE-EMAIL USAGE,,,,,,,,
1.00E-05,"$3,096,585.00",MEDIA PLACEMENT - TV/CABLE/DIGITAL,,,,,,,,
1.00E-05,"$91,940.62",DIRECT MAIL (ALSO OPPOSES MARK PRYOR),,,,,,,,
1.00E-05,"$360,353.00",MEDIA PLACEMENT / MEDIA PRODUCTION,,,,,,,,
1.00E-05,"$1,932,584.47",MEDIA PLACEMENT & PRODUCTION,,,,,,,,
1.00E-05,"$5,000.00",TELEMARKETING MANAGEMENT,,,,,,,,
1.00E-05,"$290,985.00",PAC DIRECT MARKETING,,,,,,,,
1.00E-05,"$36,885.90",BILLBOARD PRODUCTION AND LEASING,,,,,,,,
1.00E-05,"$87,291.71",DIRECT MAIL (ALSO OPPOSES MARK UDALL),,,,,,,,
1.00E-05,"$5,753.32",DIGITAL MEDIA PRODUCTION/PLACEMENT - ALASKA,,,,,,,,
1.00E-05,"$19,537.14",DIGITAL MEDIA PRODUCTION/PLACEMENT - IDAHO,,,,,,,,
1.00E-05,"$19,638.04",DIGITAL MEDIA PRODUCTION/PLACEMENT - MICHIGAN,,,,,,,,
1.00E-05,"$5,853.78",PRODUCTION EXPENSE,,,,,,,,
1.00E-05,"$36,328.17",DIGITAL MEDIA PRODUCTION/PLACEMENT - OHIO,,,,,,,,
1.00E-05,"$9,765.15","SALARIES, WAGES, AND TRAVEL EXPENSES",,,,,,,,
1.00E-05,"$64,000.00",DIGITAL ADVERTISNG,,,,,,,,
1.00E-05,"$66,000.00",HOTEL ACCOMODATIONS FOR CANVASSERS,,,,,,,,
1.00E-05,$286.91,SHIPPING - ANOTHER FEMINIST FOR HILLARY,,,,,,,,
1.00E-05,$78.00,BIRD DOGGER,,,,,,,,
1.00E-05,"$22,500.38",PRODUCTION OF ONLINE AD,,,,,,,,
1.00E-05,"$25,141.15",BANDANAS,,,,,,,,
1.00E-05,$844.43,IE-PAUL-EMAIL USAGE,,,,,,,,
1.00E-05,"$14,924.00",PAID CALLS,,,,,,,,
1.00E-05,$160.17,GASOLINE,,,,,,,,
1.00E-05,"$20,265.28",DIRECT MAIL - HUMAN RIGHTS,,,,,,,,
1.00E-05,"$192,432.80",PAID CANVASS,,,,,,,,
1.00E-05,"$3,000.00",8/6 -8/7 RADIO ADVERTISING,,,,,,,,
1.00E-05,$703.80,IE-SANFORD-MILEAGE,,,,,,,,
1.00E-05,"$110,971.62",DIRECT MAIL - POSTAGE [ESTIMATE],,,,,,,,
1.00E-05,"$15,498.00",PLANE BANNERS,,,,,,,,
1.00E-05,"$137,400.00",DIGITAL VIDEO PRODUCTION COSTS (ALSO OPPOSING DONALD TRUMP),,,,,,,,
1.00E-05,"$12,000.00",TV AD PRODUCTION COSTS (ADDED TO AIR BUY REPORTED 4/21/16),,,,,,,,
1.00E-05,"$41,658.92",TELEPHONE CALLING TO POTENTIAL VOTERS,,,,,,,,
1.00E-05,"$11,437.50","PHONEBANKING; 10/9 - 11/8; DOES NOT REACH $10,000 UNTIL 10/17",,,,,,,,
1.00E-05,"$8,436.56",GET OUT THE VOTE CALL,,,,,,,,
1.00E-05,"$389,032.00",DIGITAL WEB AD ('SPECIAL INTERESTS'),,,,,,,,
1.00E-05,"$11,947.00",BILLBOARD ADVERTISEMENT,,,,,,,,
1.00E-05,"$27,009.00",WEBSITE ADVOCACY,,,,,,,,
1.00E-05,$6.30,BAGS FOR PALM PILOTS,,,,,,,,
1.00E-05,"$6,630.00",5/27 TO 5/30 RADIO ADVERTISING,,,,,,,,
1.00E-05,$8.60,BAGGIES FOR PALM PILOTS,,,,,,,,
1.00E-05,"$11,200.00",TELETOWN HALL,,,,,,,,
1.00E-05,$103.08,GAS & TOLLS,,,,,,,,
1.00E-05,"$506,769.35",IE-SASSE-MEDIA BUY,,,,,,,,
1.00E-05,"$41,421.45",IE-RADIO-MCCONNELL,,,,,,,,
1.00E-05,$150.00,BAG FEE,,,,,,,,
1.00E-05,"$3,488.00",5/26 TO 5/29 RADIO ADVERTISING,,,,,,,,
1.00E-05,"$395,914.83",GENERIC CMTE. MEDIA BUYS,,,,,,,,
1.00E-05,"$709,255.91",PAID CANVASS - PERSUASION & GOTV,,,,,,,,
1.00E-05,"$19,724.63","IE MAILING, POSTAGE, ESTIMATED AMOUNT",,,,,,,,
1.00E-05,$126.36,SHIPPING - EVENT BANNERS,,,,,,,,
1.00E-05,"$60,000.00",MEDIA BUY - 'MUCH',,,,,,,,
1.00E-05,"$22,709.70",MEDIA COMMISSION,,,,,,,,
1.00E-05,"$16,517.30",PHOTOGRAPHY/VIDEOGRAPHY-ESTIMATED COSTS,,,,,,,,
1.00E-05,"$1,563.75",VOTER CONTACT TELEPHONE CALLS,,,,,,,,
1.00E-05,"$8,689,084.00",MEDIA BUY; ALSO OPPOSES MITT ROMNEY,,,,,,,,
1.00E-05,"$74,400.00",DIGITAL ADVERTISEMENTS AND WEBSITE,,,,,,,,
1.00E-05,"$28,757.00",TV ADVERTISING (PRODUCTION),,,,,,,,
7.51E-06,"$15,000.00","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 10/3-10/7",,,,,,,,
7.51E-06,"$251,655.00",IE-MANDEL-VOTER MAIL,,,,,,,,
7.51E-06,"$63,696.61",ESTIMATED COST:  SALARY & OTHER CANVASS-RELATED EXPENSES FROM 9/1-9/30,,,,,,,,
7.51E-06,"$5,230.00",10/24 AND 10/27 RADIO ADVERTISING,,,,,,,,
7.51E-06,"$5,502.00",SOCIAL MEDIA PLACEMENT; ALSO OPPOSES TESTER,,,,,,,,
7.51E-06,"$12,788.34",STAFF TIME ON DIGITAL VIDEOS (ALSO OPPOSING DONALD TRUMP),,,,,,,,
7.51E-06,"$150,000.00",ADVERTISING - MOBILE,,,,,,,,
7.51E-06,"$6,637.38",IE-DEVORE-EMAIL LIST USAGE,,,,,,,,
7.51E-06,"$25,839.00",SOCIAL MEDIA PLACEMENT; ALSO OPPOSES MCCASKILL,,,,,,,,
7.51E-06,"$4,346.25",IE-MANDEL-TSHIRTS,,,,,,,,
7.51E-06,$379.20,POSTAGE TO SEND CANVASSING SUPPLIES,,,,,,,,
7.51E-06,$253.60,FOOD FOR CANVASSERS,,,,,,,,
7.51E-06,"$27,906.93",SALARY COSTS,,,,,,,,
7.51E-06,$534.75,TELEPHONE CALLS - 08/13/2012,,,,,,,,
7.51E-06,"$15,000.00",INTERNET MEDIA ADS AND SERVICES,,,,,,,,
7.51E-06,"$35,268.46",SPANISH LANGUAGE DIRECT MAIL,,,,,,,,
7.51E-06,"$44,415.00",SPANISH LANGUAGE RADIO AD,,,,,,,,
7.51E-06,"$2,097.95",9/27 TO 9/30 AUTOMATED CALLS,,,,,,,,
7.51E-06,$314.07,STAFF TIME FOR RESEARCH MEMO,,,,,,,,
7.51E-06,$427.24,IE-DESANTIS-POSTAGE,,,,,,,,
7.51E-06,"$15,000.00","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 10/10-10/14",,,,,,,,
7.51E-06,"$7,500.00","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 10/18-10/22",,,,,,,,
7.51E-06,"$6,000.00",IE-DINSDALE-ONLINE ADS,,,,,,,,
7.51E-06,"$9,672.38",ADVERTISING - PAPER,,,,,,,,
7.51E-06,$865.00,10/16  GOTV EMAILS,,,,,,,,
7.51E-06,"$18,787.52",IE-MANESS-ROBO CALLS,,,,,,,,
7.51E-06,"$1,247.64",PHONE BANK MINUTES,,,,,,,,
7.51E-06,"$15,952.00",SOCIAL MEDIA PLACEMENT; ALSO OPPOSES KAINE,,,,,,,,
7.51E-06,"$24,294.57",SALARY EXPENSES,,,,,,,,
7.51E-06,"$4,894.55",IE-FLAKE-RENT,,,,,,,,
7.51E-06,$340.14,PHONE/TECHNOLOGY FOR EVENT,,,,,,,,
7.51E-06,"$15,000.00",ESTIMATED COST:  TV ADVERTISING PRODUCTION,,,,,,,,
7.51E-06,"$39,030.00",IE-MARKEY-DIRECT MAIL,,,,,,,,
7.51E-06,"$10,500.00",WESITE DESIGN COSTS,,,,,,,,
7.51E-06,"$22,500.00",IE-MASTO-ONLINE ADS,,,,,,,,
7.51E-06,"$4,017.61",IE-RADIO-WESTERMAN,,,,,,,,
7.51E-06,"$2,504.38",IE-RADIO-WALKER,,,,,,,,
7.51E-06,$104.33,STAFF TIME ON E-MAIL,,,,,,,,
7.51E-06,"$51,622.50",GOTV MAILERS,,,,,,,,
7.51E-06,"$7,500.00","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 9/20-9/24",,,,,,,,
7.51E-06,"$10,003.80","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 9/26-9/30",,,,,,,,
7.51E-06,"$107,972.59",ESTIMATED COST FOR SALARY & OTHER CANVASS RELATED EXPENSES FROM 6/1-6/30/16,,,,,,,,
7.51E-06,"$32,600.00",IE-DEWHURST-ONLINE ADS,,,,,,,,
7.51E-06,"$7,500.00","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 10/4-10/8",,,,,,,,
7.51E-06,"$599,853.40",ESTIMATE: SERIES OF MAIL PIECES,,,,,,,,
7.51E-06,"$3,548.99",IE-DIDIER-TELEMARKETING,,,,,,,,
7.51E-06,"$5,402.85",ADVERTISING - FACEBOOK,,,,,,,,
7.51E-06,"$1,583.15",IE-MANDEL-DONATION PROCESSING,,,,,,,,
7.51E-06,$476.87,IE-SMITH-UTILITIES,,,,,,,,
7.51E-06,$694.72,PHONE BANK (FROM ADVANCE LINE 21),,,,,,,,
7.51E-06,$262.59,STAFF TIME FOR ROBOCALLS,,,,,,,,
7.51E-06,"$3,655.00",IE-EMAIL LISTS,,,,,,,,
7.51E-06,"$3,437.04",WEB AD PLACEMENT (WHAT HAS LANDRIEU DONE FOR YOU),,,,,,,,
7.51E-06,"$15,000.00","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 10/31-11/4",,,,,,,,
7.51E-06,$35.04,FOOD FOR TRAVEL TO RALLY,,,,,,,,
7.51E-06,"$3,601.85",10/30 TO 11/3 RADIO ADVERTISING,,,,,,,,
7.51E-06,$91.00,FOOD FOR TRAVEL FOR RALLY,,,,,,,,
7.51E-06,"$117,975.00",IE-DUCKWORTH-ONLINE ADS,,,,,,,,
7.51E-06,$76.62,FOOD FOR PHONEBANKERS/CANVASSERS,,,,,,,,
7.51E-06,"$10,549.71",TELEVISION AD FILMING AND PRODUCTION COSTS,,,,,,,,
7.51E-06,$60.87,POSTAGE - 7TH CD FLIER,,,,,,,,
7.51E-06,"$29,308.69",ADVERTISING - CREATIVE,,,,,,,,
7.51E-06,"$8,425.25",IE-MACK-VIDEO PRODUCTION,,,,,,,,
7.51E-06,"$23,682.00",GOTV MATERIALS,,,,,,,,
7.51E-06,$649.80,FOOD FOR PHONE STAFF,,,,,,,,
7.51E-06,$48.75,POSTAGE - 9TH CD FLIER,,,,,,,,
7.51E-06,"$4,200.89",WEB AD PLACEMENT (WHAT HAS BEGICH DONE FOR YOU),,,,,,,,
7.51E-06,"$2,284.08",INTERNET EXPENSE (EMAILS),,,,,,,,
7.51E-06,"$42,662.17",IE-RADIO-ROBERTS,,,,,,,,
7.51E-06,"$16,821.66",IE-RADIO-ROUNDS,,,,,,,,
7.51E-06,"$315,652.00",RADIO MEDIA PURCHASE,,,,,,,,
7.51E-06,"$15,000.00","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 10/24-10/28",,,,,,,,
7.51E-06,"$4,318.00",10/28 RADIO ADVERTISING,,,,,,,,
7.51E-06,"$14,039.80",IE-ERNST-TELEMARKETING,,,,,,,,
7.51E-06,"$7,500.00","ESTIMATED COST FOR SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 9/13-9/17",,,,,,,,
7.51E-06,"$15,000.00","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 10/17-10/21",,,,,,,,
7.51E-06,"$10,003.80","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 9/19-9/23",,,,,,,,
7.51E-06,"$30,865.00",IE-ERNST-MEDIA PRODUCTION,,,,,,,,
7.51E-06,"$7,500.00","ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 11/1-11/5",,,,,,,,
7.51E-06,$30.00,REIMBURSEMENT FOR PARKING,,,,,,,,
7.51E-06,"$1,400.00",ESTIMATED COST FOR DESIGN SERVICES,,,,,,,,
7.51E-06,"$4,025.32",INTERNET SERVICES,,,,,,,,
7.51E-06,"$44,000.00",TELEVISION - MEDIA PLACEMENT,,,,,,,,
7.51E-06,"$293,261.02",POSTAGE FOR MAILER (RECEIPT),,,,,,,,
7.51E-06,"$48,595.60",FULFILLMENT ITEMS - SUPPORTER CARDS,,,,,,,,
7.51E-06,"$8,958.88","POSTAGE, MAIL PRODUCTION COSTS",,,,,,,,
7.51E-06,"$9,879.57",TELEVISION AD (BEGINS AIRING ON 07/26/12),,,,,,,,
7.51E-06,$559.95,IE-LANDRY-FOOD/BEVERAGE,,,,,,,,
7.51E-06,"$6,900.00",ADVERTISING - RADIO - PRODUCTION,,,,,,,,
7.51E-06,"$9,000.00",IE-LANDRY-GRASSROOTS ORGANIZING,,,,,,,,
7.51E-06,"$1,250.00",ESTIMATED COST FOR ADVERTISING DESIGN SERVICES,,,,,,,,
7.51E-06,$917.66,IE-LANDRY-OFFICE SUPPLIES,,,,,,,,
7.51E-06,"$2,396.00",STAFF TIME ASSOCIATED WITH COMMANDER IN CHIEF,,,,,,,,
7.51E-06,"$2,396.00",STAFF TIME ASSOCIATED WITH INDEPENDENT EXPENDITURE,,,,,,,,
7.51E-06,"$13,500.00",IOWA STARTING LINE ONLINE ADVERTISING,,,,,,,,
7.51E-06,$714.11,STAFF SERVICES/CANVASSING,,,,,,,,
7.51E-06,"$75,000.00",IOWA PHONE CALLS 11/25-11/27 (EST. COST),,,,,,,,
7.51E-06,"$1,558.36",IE-LANDRY-PRINTING,,,,,,,,
7.51E-06,"$4,781.25",IOWA LATINO RADIO ADS,,,,,,,,
7.51E-06,"$42,736.03",IE-HATCH-PRINTING,,,,,,,,
7.51E-06,"$34,805.00",IE-HATCH-POLLING,,,,,,,,
7.51E-06,"$69,016.00",PHONEBANKING,,,,,,,,
7.51E-06,$229.85,GET OUT THE VOTE CANVASSING/PREP,,,,,,,,
7.51E-06,"$10,024.17","IE-SMITH, BRYAN-YARD SIGNS",,,,,,,,
7.51E-06,"$1,360.66",IE-SMITH-BUMPER STICKERS,,,,,,,,
7.51E-06,"$88,177.00",IE-LANDRY-VOTER MAIL,,,,,,,,
7.51E-06,"$7,356.40",YARD SIGNERS AND DOOR HANGERS,,,,,,,,
7.51E-06,"$2,050.00",GOOGLE AD,,,,,,,,
7.51E-06,"$38,776.00",ITOUCH RENTAL,,,,,,,,
7.51E-06,"$60,000.00",ESTIMATED CANVASS CONSULTING SERVICES,,,,,,,,
7.51E-06,"$45,423.00",INTERNET VIDEO AD,,,,,,,,
7.51E-06,"$3,500.00",TELEVISION - AD PRODUCTION,,,,,,,,
7.51E-06,"$13,696.00",LABOR - BLOCKWALKERS/PHONE CALLS,,,,,,,,
7.51E-06,"$59,880.05", POSTAGE / PRINTING / PRODUCTION,,,,,,,,
7.51E-06,"$5,391.52",WEB AD PLACEMENT (FIRE LANDRIEU 2),,,,,,,,
7.51E-06,"$13,382.99",IE-KATKO-DIRECT MAIL,,,,,,,,
7.51E-06,"$695,000.00",IE-KATKO-MEDIA BUY,,,,,,,,
7.51E-06,"$43,573.98",IE-KATKO-MEDIA PRODUCTION,,,,,,,,
7.51E-06,"$1,132,000.00",ADVERTISING - TELEVISION,,,,,,,,
7.51E-06,"$200,208.77",POSTAGE FOR MAILER (ENERGY),,,,,,,,
7.51E-06,"$153,793.83",POSTAGE FOR MAILER (CRONYISM),,,,,,,,
7.51E-06,"$3,399.79",POSTAGE/MAILING FEES,,,,,,,,
7.51E-06,"$154,797.39",KIDS ONLINE AD PLACEMENT (FINAL TOTAL NOT ESTIMATED),,,,,,,,
7.51E-06,"$14,900.00",ESTIMATE: SURVEY,,,,,,,,
7.51E-06,"$6,191.72",STAFF TIME - ONLINE ADVOCACY,,,,,,,,
7.51E-06,"$16,988.15",IE-JOHNSON-EMAIL LIST,,,,,,,,
7.51E-06,"$54,891.24",POSTAGE FOR MAILER (BAYH OBAMACARE MAILER 1),,,,,,,,
7.51E-06,$109.86,GAS FOR TRAVEL TO RALLY,,,,,,,,
7.51E-06,$48.78,STAFF TIME AND EMC EMAIL,,,,,,,,
7.51E-06,"$51,266.74",JUNE MONTHLY LIST RENTAL FEES,,,,,,,,
7.51E-06,"$12,939.64",IE-KIRKPATRICK-MEDIA PRODUCTION,,,,,,,,
7.51E-06,"$78,222.19","POSTAGE, SUPPORT FLIER",,,,,,,,
7.51E-06,"$1,000.01",ESTIMATE:TELEMARKETING - ADMIN FEES,,,,,,,,
7.51E-06,$17.59,GENERATOR FUEL,,,,,,,,
7.51E-06,"$19,416.51",STAFF TIME & EXPENSES;10/20 - 11/8 (ESTIMATE),,,,,,,,
7.51E-06,"$5,577.93",TELEPHONING,,,,,,,,
7.51E-06,"$23,204.84",FULFILLMENT ITEMS - YARD SIGNS,,,,,,,,
7.51E-06,"$1,811.85",GOOGLE ADVERTISING,,,,,,,,
7.51E-06,"$40,513.92",WEB AD PLACEMENT (FRUGAL),,,,,,,,
7.51E-06,"$4,577.78",IE-LEE-EMAIL MARKETING,,,,,,,,
7.51E-06,"$14,386.42",GOOGLE ADWORDS,,,,,,,,
7.51E-06,"$57,975.00",IE-LOVE-ONLINE ADS,,,,,,,,
7.51E-06,"$837,932.00",TELEVISION MEDIA BUY - 'PROSECUTORS',,,,,,,,
7.51E-06,"$3,269.31",STAFF AND EMAIL FOR FUNDRAISING APPEAL,,,,,,,,
