,Purpose Code,Categorization
1868,FULFILLMENT ITEMS - BOOKS,administrative
1306,GAS FOR FIELD VAN #2,travel
3091,08/20 DIRECT MAIL,fundraising
439,TV ADVERTISING BUY,media
4624,GRAPHIC DESIGN SERVICES,digital
659,FUNDRAISER EVENTS,fundraising
183,CC TRANSACTION FEES,administrative
1939,CONTRIBUTION TO STATE COMMITTEE,fundraising
2657,TELEVISION ADVERTISING & PRODUCTION OF 'FANCY',media
708,LEGAL SETTLEMENT 2010 FEC MATTER,legal
692,001 LEGAL FEES,legal
5146,"TV, RADIO AND DIGITAL MEDIA ADVERTISEMENT REFORMER IN SUPPORT OF DAVE JOYCE, 3/1 - 3/15.",digital
6446,MEDIA PRODUCTION & EMAIL BLASTS - CANDIDATE SPECIFIC,media
233,CONSULTANT COMPLIANCE,consulting
653,LEGAL MATTERS,legal
7680,IE-BRANNON-PRINTING,administrative
6021,"REIMBURSEMENT FOR MAGAZINE POSTAGE, NATIONALLY DISTRIBUTED - $1.11 PER STATE FOR 49 STATES",administrative
145,PAC POSTAGE,administrative
4723,IE-CRUZ-SIGNAGE,field
1656,2010 REBILL DIRECT MAIL PIECE - ESTIMATE,fundraising
5895,REDFORD APPEAL - COPYWRITING,legal
642,POSTAGE -  DONNELLEY THE SPENDIFICENT,administrative
4712,MAILER MIKE JOHNSON 1,media
3990,"PHONE CALLS SUPPORTING BRADLEY BYRNE, 10/31/2013 - 11/05/2013.",polling
930,IE-LEE-LIST PURCHASE,field
18,DIGITAL ADS,digital
4759,RADIO ADVERTISING SERVICES,media
368,VOTER CONTACT MAIL  BLAME,field
3984,PRINTING OF POSTCARS,administrative
6951,IE-PHONE CALLS-ERNST,administrative
6234,REIMBURSEMENT FOR PRINTING CAMPAIGN MATERIALS,administrative
336,EMPLOYEE TAXES,legal
738,EVENTS STATE PARTY DINNER,field
2994,NEWSPAPER AD - AZ,media
4874,LAWN SIGNS SUPPORTING HILLARY CLINTON FOR PRESIDENT,field
6618,TELEVISION ADVERTISING & PRODUCTION OF 'CYNTHIA',media
3800,ESTIMATE OF NATIONWIDE TELEMARKETING CALLS SUPPORTING DONALD TRUMP. CALLS MADE FROM JULY 15 - 31ST.,fundraising
4046,TELEPHONE VOTER OUTREACH,polling
992,TV ADVERTISING 11/1-11/2,media
5366,DIRECT MAIL PIECE NC-08,fundraising
2612,IE-KIRKPATRICK-MEDIA PRODUCTION,media
6463,"MEDIA BUY - 'OYE, SHARRON' 09/08/2010",media
5494,IE-DIDIER-TRAVEL/MEALS,travel
6118,MATERIAL FOR SIGNAGE,field
358,STAFF TIME ON EMAILS (ALSO OPPOSING DONALD TRUMP),digital
3588,DIRECT MAIL: CREATIVE,fundraising
1161,VIDEO PRODUCTION  - 'GOING HOME',media
586,TELEMARKETING MEMBERSHIP COMMUNICATION,fundraising
2361,"PRINT, POSTAGE, AND DATA CHARGES",administrative
3731,STAFF TIME & FOOD FOR PHONEBANKING; 8/22 - 8/31; DOES NOT AGGREGATE TO 10K UNTIL 9/26/16,polling
5655,EQUIPMENT RENTAL (ESTIMATE),administrative
5909,TV/CABLE PLACEMENT,media
7626,TV AD PRODUCTION: TRICK-MCDOWELL,media
7457,ONLINE ADVERTISING -- PRODUCTION AND PLACEMENT,digital
4932,ONLINE ADS PD THRU VERTICAL STRATEGIES,digital
1520,GOTV FIELD  ACTIVITIES,field
643,FEC COMPLIANCE AND ACCOUNTING,legal
6947,POSTAGE FOR MAILERS (SPENDING (LONG-TERM BIG SPENDER)),media
2809,STAFF & EMAIL FOR RECRUITMENT OF VOLS FOR IE CANVASS,field
7897,MOBILE AD,digital
7275,GRAPHIC DESIGN - VOTE FOR DEBORAH ROSS,digital
4317,STIPEND FOR VOLUNTEERS,field
3503,REIMB: CANVASSING TRANSPORTATION ULTIMATE PAYEE MINIMART ON THE GREENS,field
571,MEDIA AD BUY,media
2426,IE-DIRECT MAIL-CRUZ,fundraising
83,CREDIT CARD SEE BELOW IF ITEMIZED,administrative
7636,"DIRECT MAIL DESIGN, PRINTING, HANDLING,  POSTAGE",fundraising
2371,PRINT & PRODUCTION - KIRKPATRICK THE SPENDIFICENT,media
3934,FULFILLMENT ITEMS - POSTERS,media
271,IE-MCDANIEL-SIGNAGE,field
7329,TV ADVERTISEMENT PLACEMENT: TRUST,media
1685,BROCHURE PRODUCTION,media
6063,IE-MATHESON-CANDIDATE BOOKS,field
916,RADIO ADS - NY - 10/28,media
2951,CANVASSING SALARY & BENEFITS,field
105,DIGITAL ADVERTISING PRODUCTION AND BUY,digital
3344,HONDA DOORHANGER,field
1167,IE-HATCH-PRINTING/ARTWORK,administrative
364,"TV ADVERTISEMENT HUNGRY OPPOSING JOHN FOUST, 9/24 - 10/1.",media
356,VOTER CONTACT MAIL PRODUCTION & POSTAGE: 'HISPANIC BILINGUAL B3',field
3613,MEDIA PRODUCTION-NATIONAL DISSEMINATED,media
827,TRAVEL AND SUBSISTENCE,travel
189,RADIO TV  ONLINE ADS REPUBLICANS,digital
3967,"DESIGN, PRINTING, SHIPPING FOR CANVASS LITERATURE",field
1231,"SURVEY RESEARCH SUPPORTING MITCH MCCONNELL, 2/19 - 3/1.",polling
566,PLACEMENT OF INTERNET ADS/COMMUNICATIONS,digital
2500,MAILINGS AND RADIO,media
771,SOUND AND LIGHTING AT EVENT,field
5439,WATER/ICE,administrative
7129,"MEDIA PLACEMENT, PRODUCTION AND CREATIVE",media
4670,MEDIA PRODUCTION - ALSO OPPOSE KASICH AND CHRISTIE,media
3376,DIRECT MAIL--NEVADA; ALSO OPPOSES BARACK OBAMA,fundraising
1934,SOCIAL MEDIA PRODUCTION & PLACEMENT: WORK HARD,digital
4889,DESIGN COSTS - CANDIDATE SPECIFIC,media
657,DEBT REPAYMENT LEGAL FEES,legal
3687,DIRECT MAIL APPEAL FEE ESTIMATE OF NATIONWIDE DM SUPPORTING DONALD TRUMP. DMS SENT ON 8/15/16.,fundraising
701,LEGAL AND COMPLIANCE FEES,legal
7368,PE DIEM,administrative
6078,TV AD PRODUCTION COSTS (ADDED TO AIR BUY REPORTED 4/19/16),media
5246,LIST RENTAL FOR EMAILS,fundraising
6433,FL VIDEO ADS,digital
415,TV AD BUY,media
1130,RADIO & TV ADVERTISING,media
407,TELEVISION ADVERTISING OF 'SUPPLIES',media
2915,"MAGAZINE ARTICLE, PRINTING AND SHIPPING, NATIONALLY DISTRIBUTED - $22.03 PER STATE FOR 49 STATES",media
4303,AERIAL BANNERS DESIGN & PITCH,media
2277,FOOD FOR VOLUNTEERS,administrative
14,WEB ADS,digital
2142,PRESS RELEASE WITH VIDEO (FROM ADVANCE LINE 21),media
339,CAMPAIGN CONTRIBUTION,fundraising
421,MEDIA SERVICES,media
870,MEDIA PRODUCTION/SPOT DELIVERY,media
4656,IE-WALSH-VOTER SURVEY,polling
2822,CATHERINE AGAINST NEVADA STAFF EXPENSES (EXCEEDED $1K ON 10/30/2016),administrative
5537,WEB AD PLACEMENT (FIRE BEGICH),digital
3317,PHONEBANKING STARTING 8/19,polling
5268,HANDOUT PRINTING,media
207,POSTAGE - 10TH CD FLIER,administrative
5269,PHONE BANK FROM 8/3/12 TO 8/7/12,field
4349,PAC LEGAL SERVICES AND FEC COMPLIANCE EXPENSE,legal
6997,SOCIAL MEDIA PLACEMENT: NOT OPTIMAL,digital
2291,TELEPRESSER,field
6554,TELEVISION AD FILMING AND PRODUCTION COSTS,media
5935,PAID DISTRIBUTIONTRAVEL EXPENSES- ANOTHER FEMINIST FOR HILLARY,travel
73,PARYROLL & BENEFITS - NO ON TRUMP,administrative
438,DONOR OUTREACH,fundraising
6785,CREATIVE FEES,misc
4667,BETS TV PRODUCTION AND MEDIA PURCHASE,media
6921,IE-SHANNON-ONLINE PROCESSING,digital
2194,NEWSPAPER AD - NY,media
687,CONVENTION AUDIO VISUAL EXPENSE,misc
7213,IE-MASTO-MEDIA BUY,media
5690,ADVERTISING - TV AD BUY,media
1897,VOICE-OVER PRODUCTION (DEFEAT EVAN BAYH),media
598,DIRECT MAIL SERVICES POSTAGE,fundraising
5528,EMAI BLAST - CANDIDATE SPECIFIC,digital
6089,TV AD BUY AND PRODUCTION,media
7327,IE-HATCH-ONLINE ADVERTISING,digital
4590,GRAPHIC DESIGN FOR WEBSITE,digital
1387,"NEW TV AD AIR BUY, PRODUCTION COSTS",media
4069,IE-ERNST-DIRECT MAIL,fundraising
7029,WESITE DESIGN COSTS,digital
726,POLITICAL EVENTS CATERING,misc
2777,LAPEL PINS,field
645,LEGAL REPRESENTATION,legal
202,CANVASSING SERVICES,field
1837,PRESS CONSULTING,consulting
3116,MAIL PRODUCTION PRINTING POSTAGE (ENERGY),fundraising
3770,MEDIA PURHCASE,media
2686,TO SUPPORT BEN CARSON,misc
3781,ESTIMATED COST FOR OPERATIONS DIRECTOR SERVICES 4/13-4/20,consulting
360,BILLBOARD ADVERTISEMENT 'BRINGING CONSERVATIVE NEBRASKA VALUES TO WASHINGTON,media
804,AIRFARE,travel
5932,RADIO ADS - ENOUGH,media
211,CONSULTANT MEDIA,consulting
149,RENT OCCUPANCY,administrative
775,DECLARATION OF INDEPENDENCE BOOKS FOR DISTRIBUTION,misc
188,EMAIL NEWSLETTER BLAST - CANDIDATE SPECIFIC,digital
7635,TELEVISION ADVERTISING AND MEDIA BUY: ALSO SUPPORTS JONI ERNST,media
7111,EMAIL EXPENDITURE OPPOSING JERRY CANNON.,digital
3177,MEDIA EXPENSE AND RESEARCH,media
5006,INTERNET ADVERTISING; ALSO OPPOSES MITT ROMNEY,digital
2627,IE-PRINTING-BLUNT,administrative
1616,IE-LEE-ONLNE PROCESSING,digital
5835,BOOST POSTS,digital
2414,IE-ROS-LEHTINEN-MEDIA BUY,media
486,"ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 9/27-10/1",field
5765,REGISTER TO VOTE,field
7767,IN-KIND BANNER ADVERTISING (ESTIMATE OF OCTOBER BALANCE),media
369,FUNDRAISING EVENT CONSULTING,consulting
843,DIGITAL ADVERTISING: PRODUCTION COST (ALSO OPPOSES JOHN DELANEY),digital
6224,PRINT 4 COLOR FLYERS,media
938,ESTIMATED COST:  DIGITAL ADVERTISING,digital
4823,PRINTING AND SHIPPING - CAMPAIGN SIGNS,field
2930,IE-GLENN-ONLINE ADVERTISING,digital
380,FIELD CANVASS,field
388,POLITICAL CAMPAIGN CONSULTING,consulting
2051,5/29 RADIO ADVERTISING,media
259,TV AD PLACEMENT: TRICK-SCHAUER,media
2788,MEDIA BUY - 10/28/2010,media
2871,TV & CABLE MEDIA BUY,media
6198,INDEPENDENT EXPENDITURE - RADIO/MAIL/TELEPHONES FOR RE. AMI BERA,media
7755,FULFILLMENT ITEMS - STICKERS,field
1171,STAFF TIME FOR BLOG DISSEMINATION,digital
5595,IE-STUTZMAN-DONATION PROCESSING,fundraising
852,TRAVEL EXPENSE REIMBURSEMENT ITEMIZATION BELOW IF REQUIRED,travel
3136,ADVERTISING - RADIO (PRE-PAID ON 7/30/2014),media
1472,CREATION AND PLACEMENT OF SOCIAL MEDIA ADS RUNNING 10/26 - 11/1,digital
5466,CANVASS OPERATIONS,field
6467,"POSTAGE, 2ND CD FLIER",media
5869,"TV, RADIO & DIGITAL ADS TO BE BROADCAST 10/14 &10/17",digital
6080,"DIGITAL ADVERTISEMENT RICHARD PETTY SUPPORTS THOM TILLIS SUPPORTING THOM TILLIS, 10/2 - 10/13.",digital
6729,MOTOR COACH REPAIRS,travel
7889,"ADDITIONAL STAFF TIME FOR FIELD CANVASS,11/2-11/4",field
5202,DIRECT MAIL SERVICES - FAMILIES,fundraising
732,PLANE CHARTER FOR EVENTS,travel
247,POLITICAL SOUVENIRS,field
7461,BUTTONS/STICKERS FOR STEPHENE MOORE CAMPAIGN TO ANA MEMBERS,field
288,MEDIA BUY - 'PENNY' 09/14/2010,media
3155,IE-MEDIA BUY-BEVIN,media
2623,BUS TOUR - POSTER,travel
3653,VOTER CONTACT MAIL PRODUCTION & POSTAGE: CHINA #1,field
6125,MEAL AT OBAMACIN ONLINE AD FILMING,digital
7254,IE-PLUMMER-VOTER ID CALLS,field
7362,IE-LUGAR-PRINTING/POSTAGE,administrative
6529,"TV, DIRECT MAIL, PHONES & ONLINE",digital
5660,IE-MILLER-EMAIL LISTS,digital
6555,IE-BUERKLE-ONLINE ADS,digital
7525,MAILER 3 - DAVIS.HOCHUL,media
151,TV AD PRODUCTION COST - ESTIMATED,media
2237,IE-STAFF TRAVEL,travel
5957,PHONE/MAIL COMMUNICATION,administrative
1352,ADD TO EXISTING RADIO AD AIR BUY,media
4425,FULFILLMENT ITEMS - MAGNETS MUGS & CLOTHING,field
5609,MEDIA PRODUCTION FOR 05/06/14 OREGON AD,media
3911,STAFF TIME ON SOCIAL MEDIA POSTS AND EMAILS,digital
6275,IE-BROWN-ONLINE ADS,digital
5514,RADIO AD PRODCUTION,media
2872,TELEVISION ADVERTISMENT,media
3150,TV AD PRODUCTION COST WEAKEN US,media
913,"LABOR - PHONE BANKS, BLOCK WALKERS",polling
4891,TELEVISION AND DIGITAL ADVERTISEMENT PRODUCTION - 'PROMISE',digital
2764,IE-LANDRY-FOOD/BEVERAGE,administrative
233,CANVASSING EXPENSES,field
1206,PRODUCTION AND SHIPPING COSTS OF CABLE AD,media
5653,9/27 TO 9/30 AUTOMATED CALLS,field
4449,TEMPORARY ADMIN STAFF FOR PHONE BANK (ESTIMATE),polling
1076,"TV ADVERTISEMENT FIGHTER SUPPORTING MARK KIRK, 7/16 - 7/22.",media
3041,ADVERTISING PRODUCATION AND PLACEMENT,media
4335,PAC WEB PRODUCTION & ADVERTISING,digital
651,2012 RNC CONVENTION EVENTS,field
1347,IE-MANDEL-YARD SIGNS,field
4831,NEWSPAPER AD  - VA,media
340,CAMPAIGN STRATEGY CONSULTING SERVICES,consulting
2265,SOCIAL MEDIA ADVERTISING BUY FOR ADS RUNNING 11/5 - 11/8 - ESTIMATE,digital
213,ESTIMATE OF DIGITAL ADVERTISING PRODUCTION AND DEPLOYMENT COSTS FOR 4/12/15-4/30/15,digital
1855,"STAFF TIME AND EXPENSES FOR PHONEBANKING; 9/6 - 9/30. DOES NOT REACH $10,000 UNTIL 10/11",polling
2848,TV ADS 'BETTER PEOPLE',media
3335,"TV MEDIA, RADIO PRODUCTION AND MEDIA, BUS SIGN PRODUCTION AND PLACEMENT",media
6703,DIGITAL ADVERTISING - DISSEMINATED 10/28/2016,digital
2757,ESTIMATED PAYROLL FOR PHONE BANKING (5/21/12 - 5/25/12),polling
428,FUNDRAISING COMMISSION,fundraising
5753,GOTV - ONLINE ADVOCACY,digital
4792,VOTER COMMUNICATIONS/CAMPAIGN CALL EXPENSES,field
2921,RADIO TIME BUY,media
1643,IE-STUTZMAN-WEB ADS,digital
5072,IE-SASSE-ONLINE ADS,digital
5384,COMPUTER FOR KEEPING RECORDS,administrative
673,PAC PRINTING AND POSTAGE AND DIGITAL ADVERTISING EXPENSE,digital
580,TV ADVERTISEMENT BUY AND PRODUCTION,media
4922,9/27 TO 10/30 AUTOMATED CALLS,field
4211,RADIO PRODUCTION - REAL PLAN - DISSEMINATED 10/28/16,media
5669,GOTV PHONES,administrative
4300,STAFF SERVICES,field
925,PRINTING OF MEMBER ENDORSEMENT NEWSLETTER,media
1902,MEDIA RADIO ADVERTISING PRODUCTION COSTS,media
6472,"MEDIA SUPPORTING JOHN MCCAIN, 8/23 - 8/30.",media
0,IE-ALLEN-ONLINE PROCESSING,digital
1326,RECRUITING ADS 9/26-10/2,media
1419,ADVERTISING - MEDIA PLACEMENT (PAID 10/15/2014) (ESTIMATE),media
335,INSURANCE PREMIUM,legal
552,ESTIMATE:TV AD PRODUCTION,media
4003,POSTAGE FOR MAILER (MASTO LOBBYIST TRIPS MAILER 2),media
3355,"TV AND DIGITAL ADVERTISEMENT POWER OPPOSING MARK UDALL, 9/4 - 9/17.",digital
5966,BILLBOARD PRODUCTION,media
1881,FIELD EXPENSES,field
144,TV AD PRODUCTION AND BROADCAST BUY. AD OPPOSES MARK PRYOR AND AIRS OCTOBER 10TH TO OCTOBER 16TH.,media
724,GOTV PER DIEM,fundraising
496,ADVERTISINGTV PLACEMENT STILL BELIEVE,media
4487,DIRECT MAIL - DISSEMINATED 8/19/16,fundraising
1357,EMAIL COPYWRITING-ESTIMATED COSTS,digital
511,EMAIL LIST RENTAL AND DEPLOYMENT,fundraising
5443,PRINTING ADVERTISMENT,media
251,POSTAGE FOR AD,media
619,STAGING AUDIO VISUAL SERVICES,media
6617,"DIGITAL WEB AD PLACEMENT (DEFEAT 'PAY-MORE' PATRICK) DID NOT CROSS $10,000 THRESHOLD",digital
683,PAC LEGAL TREASURY FEES,legal
5458,TELEVISION AD PRODUCTION - PHOTOGRAPHY.  AD SUPPORTS SAM CLOVIS AND AIRS MAY 27 TO JUNE 3RD.,media
7630,AD PRODUCTION CHARGE,media
6887,DATA APPEND AND ROBOCALLS,field
2795,10/6 TO 10/13 TELEVISION ADVERTISING,media
3257,WEB AD CREATION & PRODUCTION (TRUTH),media
130,REIMBURSEMENT - EVENT FEE,administrative
1818,PHONEBANKING & OTHER VOTER (10/30/10 - 11/2/10),polling
505,TELEVISION ADVERTISEMENT BUY,media
4287,MEDIA PRODUCTION; ALSO OPPOSES NEWT GINGRICH,media
1397,DOMAIN NAME PURCHASES,digital
3903,SOCIAL MEDIA PLACEMENT: WHAT'S AT STAKE,digital
2530,ADVERTISING - PRAMILA IS AN INSPIRATION,media
4666,MAILER #8,media
3360,DOOR HANGER -- MINNESOTA; ALSO OPPOSES BARACK OBAMA,field
829,PHONE BANK,polling
284,IE-RAESE-BUMPER STICKERS,field
6994,ADVERTISING PURCHASE,media
102,STEEL BLITZ FOR BARACK - HALL RENTAL/FOOD,administrative
941,IN KIND TRANSPORTATION SERVICES,travel
4782,TELETHON 9/25/12,field
2085,MAILING OF VOTER GUIDE,administrative
3127,MAIL PIECE PRODUCTION,media
3423,IE-RADIO-ERNST,media
988,TRAVEL FLIGHT,travel
4143,RADIO MEDIA BUY-ALSO SUPPORTS THOM TILLIS,media
783,IN KIND CATERING EVENTS,misc
287,DOORHANGERS,field
7542,EVENT PLANNING - VOTE FOR ANN KUSTER (ESTIMATED),field
1825,IE-MCCONNELL-EMAIL/SOCIAL MEDIA/PRINTING,digital
7417,CAMPAIGN RALLY JANITORIAL SERVICE,misc
4976,"TV AD AIR BUY, PRODUCTION COSTS",media
5904,TELEVISION PRODUCTION OF 'EARTH' - ESTIMATE,media
3839,TELEVISION ADVERTISING OF 'UP',media
5720,TV AD PRODUCTION & PLACEMENT: TOMORROW 2,media
5523,DIGITAL ADVERTISING - ESTIMATE - TRUMP'S AMERICA ISN'T SAFE FOR WOMEN,digital
4630,E-MAIL ADVOCACY,digital
5491,STAFF SALARIES AND BENEFITS,field
101,INTERNET ADS,digital
4942,IE-MCDANIEL-MAIL PROCESSING,administrative
5490,VERY GOOD'  AND 'FIRE MAFFEI' TELEVISION ADVERTISEMENTS,media
188,DATA ENTRY SVC,administrative
6425,MAILHOUSE/POSTAGE,administrative
5898,RADIO ADVERTISING (PLACEMENT),media
7067,VOTER CONTACT MAIL PRODUCTION & POSTAGE: LIGHTS OUT,field
3902,ESTIMATED COST:  DOORHANGERS,field
954,POST CARDS AND POSTAGE,administrative
3749,PRODUCTION AND PLACEMENT OF RADIO AND TV ADS,media
292,BUS SUPPLIES,travel
6452,CABLE MEDIA BUY (10/22 - 11/05/2012),media
88,SALES TAX,legal
7238,TV SPOT FOR COMMERICAL AD,media
3950,MEDIA BUY - DISSEMINATED 5/7/2012,media
7228,"TV ADVERTISEMENT FIGHT HARD SUPPORTING MITCH MCCONNELL, 12/3 - 12/12.",media
452,AGENCY FEE ON 10/01 RADIO CAMPAIGN,media
6051,POSTAGE FOR MAILER,media
4515,IE-ERNST-ONLINE ADS,digital
5417,"COPYWRITING, SCRIPTS AND WEB CONTENT",digital
843,TRAVEL SERVICES PAYMENT,travel
7858,PUMPING IRON PLACEMENT\TTV PURCHASE,media
676,PARKING CARSON,misc
5306,IE-FLAKE-VOTER CALLS,field
3118,MEDIA BUY (5/1 - 5/8),media
3933,IE-SOUTHERLAND-YARD SIGNS,field
5614,TV ADVERTISING (PLACEMENT COST),media
2062,PRINTING OF MAIL PIECES,administrative
4847,ESTIMATE: CANVASSING COSTS - WA,field
538,ADVANCE DEPOSIT,media
723,SIGNS FOR EVENT,field
1743,MEDIA PRODUCTION & PURC,media
7231,PRINTING - 'BGTX HARRIS BILINGUAL EARLY VOTE LIT' ESTIMATE,media
5249,AUTOMATED CALLS 10/27-30,field
2485,PORTA POTTY RENTAL,administrative
5315,CAMPAIGN CONSULTING FOR GOTV ACTIVITIES; 11/1 - 11/4 (ESTIMATE),consulting
376,PRINTING FIELD,field
770,PROFESSIONAL LEGAL SERVICES AND EXPENSES,legal
443,DIRECT MAIL DESIGN,fundraising
1893,ESTIMATED POSTAGE,administrative
4859,WEEKLY PAYMENT DIGITAL MEDIA,digital
5696,"SCHWEIKERT MAILING (CREATIVE SVCS, PRODUCTION, MAILING)",media
3794,RADIO PRODUCTION - ENDORSED - DISSEMINATED 8/19/2016,media
178,PAYROLL TAXES WITHHOLDINGS,field
353,CANVASS BIRDDOGGING  RALLIES,field
271,VOTER CANVASS LITERATURE,field
2635,IE-DIRECT MAIL-TRUMP,fundraising
5954,IE-RATCLIFFE-DIRECT MAIL PRODUCTION,fundraising
5020,RADIO AD PRODUCTION: HARRY REID VOTES,media
1682,INTERNET VIDEOS,digital
3587,JOB AD FOR CANVASSERS,field
1932,ADVERTISING - INTERNET (ALSO OPPOSES DANIEL WEBSTER) (PREVIOUSLY REPORTED AS ESTIMATE ON 10/31),digital
2747,"INV # 120352 - 1,500 NELSON HARD HAT STICKERS",field
5316,CANVASS STIPENDS,field
3638,PRINTING - CANVASSING LITERATURE,field
4091,ESTIMATE: TV AD PRODUCTION - CASH,media
185,STAFF TIME DEVELOPING NM CANVASS MATERIALS,field
697,MEETINGS AND EVENTS,misc
896,TELEPHONE BANKS,polling
7746,IE-HATCH-DOOR HANGERS,field
6509,ONLINE ADVERTISING 6/25,digital
1242,IE-OBAMA-SHIPPING,administrative
4964,IE-HATCH-TSHIRTS,field
1069,"TV AND DIGITAL ADVERTISEMENT ISN'T IT TIME AGAINST BRAD SCHNEIDER, 8/22/14 - 9/13/14.",digital
900,IN KIND MILEAGE,travel
992,TRAVEL MILEAGE PER DIEM,travel
311,COMMUNICATION CONSULTING,consulting
2093,TELEPHONE CALLS TO VOTERS TO SUPPORT CANDIDATE,field
7658,ESTIMATED ONLINE AD PRODUCTION COSTS,digital
3960,TV ADVERTISING - DISSEM 10/30/12,media
4917,VOTER CONTACT EMAILS - CREATIVE,field
4370,COURIER SERVICE FOR EVENT,administrative
3678,WEBSITE POSTING,digital
7552,POSTAGE MAIL #2,administrative
699,FEC ACCOUNTING SERVICES,legal
4376,LIST PROCUREMENT,fundraising
598,ADVERTISING  MEDIA PLACEMENT ESTIMATE,media
7705,VOTER ID LISTS,field
2403,"MAGAZINE INSERT, PRINTING AND SHIPPING",media
5884,ONLINE AD DESIGN,digital
3495,ONLINE ADVERTISING-ALLOCATION OF RETAINER,digital
5040,PRODUCTION AND TIME FOR TV AD,media
725,SALARY FOR CANVASS,field
108,ADMINISTRATIVE SALARY OVERHEAD SALARY,administrative
793,ACCOUNTING AUDIT,legal
6390,IE-OPPOSE WARD-ONLINE ADS,digital
5557,POLLING COSTS - CANDIDATE SPECIFIC,polling
193,PAYROLL BENEFITS,administrative
820,POLLING SURVEYS,polling
5999,TV AD PRODUCTION & PLACEMENT: FORM LETTERS,media
1013,IE-COFFMAN-VOTER MAIL,administrative
6845,REIMB FOR CANVASSERS,field
4566,PRINTING & COPYING,administrative
3427,INV. # 84698 - GARY MCDOWELL HARD HAT STICKERS,field
5119,IE-FOSTER-MEDIA BUY,media
549,PRINTING AND DESIGN SERVICES,media
3442,GOTV CALLS (11/03 - 11/05/2012),field
630,AUDIO VISUAL SERVICES AMEX SB232464826,media
3194,DOORKNOCKING,field
2792,BUS TOUR- VAN RENTAL,travel
2159,CREATIVE COST- MAIL PIECE 5,media
7710,IE-MAFFEI-ONLINE ADES,digital
2407,STAFF MATERIAL DESIGN,administrative
578,RADIO ADVERTISING; ALSO OPPOSES MITT ROMNEY,media
5850,CONSULTANTS - CANVASS,consulting
4127,DELIVERY OF TV ADVERTISING TO STATIONS,media
45,THE EXHIBIT PLACE - INVOICE 27499 (FLYERS),field
40,IE-FLAKE-WALK LISTS,field
2526,"MAILER, ALSO OPPOSES MITT ROMNEY",media
849,PAY TOLL,administrative
712,LEGAL EXPENSES ON BEHALF OF CHARLES BRIMMER,legal
3464,"MAIL PIECE PRODUCTION, POSTAGE; IN-KIND FROM STUART SMITH CREDIT CARD",media
2983,CABLE MEDIA BUY -- RUN DATES 10/11 - 10/12/2012,media
6859,POSTAGE/PRINTING OF MAILING DROP 10.13,administrative
60,PAYROLL SVC PAYROLL TAXES,field
6092,BILLBOARD ADVERTISEMENT,media
6807,GOTV FLYERS,media
4311,"WEB DOMAIN - SHE WINS, WE WIN",digital
6462,IE-BUCK-RADIO PLACEMENT,media
395,IE-MANDEL-VOTER ID MAILING,field
1696,TELEVISION ADVERTISING OF 'PROBLEM',media
5082,PAC RALLY SIGNS,field
170,PHONE BANK SUPPORTING KERRY BENTIVOLIO,polling
2820,WEB HOSTING FOR LEADERSHIP ONLINE AD (SPLIT),digital
1628,IN-KIND RECEIVED: PHOTOGRAPH,administrative
7587,ADVERTISING SERVICES AND PRODUCTION,media
579,MEDIA PLACEMENT FOR NATIONAL BUY ON FOX NEWSALSO OPPOSE KASICH RUBIO AND CHRISTIE,media
1546,"TV AND DIGITAL MEDIA OPPOSING KATIE MCGINTY, SO MAY 20 - JUNE 13.",digital
3580,11/20 AND 11/21 TELEVISION,media
6526,TELEVISION ADVERTISING OF 'DON'T BE FOOLED',media
837,REIMBURSEMENT TRAVEL,travel
915,HOTEL STAY,media
3864,STATIONARY/OFFICE SUPPLIES,administrative
1996,IE-MOURDOCK-MAIL PROCESSING,administrative
200,FUNDRAISING CONSULTING,consulting
6854,MAIL PIECE-BRAD ASHFORD,media
7723,IE-ANGLE-EMAIL LISTS,digital
7076,ESTIMATED COST:  RALLY SIGNS,field
1887,STAFF TIME & FOOD FOR PHONEBANKING; 9/8 - 9/29 ESTIMATE; DOES NOT AGG TO 10K UNTIL 9/26,polling
426,IE-AKIN-ONLINE PROCESSING,digital
1708,MAILER STEAK,media
423,MEDIA TIME BUY,media
1533,RADIO ADS (10/11 - 10/21/2016),media
7258,ADVERTISING: PERSONNEL FOR LIVE PHONE CALLS (IN KIND),field
5287,MAILER MIDDLE CLASS,media
5865,IE-MCCAIN-ONLINE ADS,digital
1969,ESTIMATED RADIO AD BUY,media
5372,IE-MOURDOCL-ONLINE ADS,digital
2621,MEDIA PRODUCTION AND TRANSMISSION,media
3641,"ESTIMATED COST FOR SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 9/12-9/16",field
4642,VIDEO PRODUCTION - WEB ADS,digital
1155,GRAPHICS FOR MAIL PIECD,digital
7613,IE-TARKANIAN-TRAVEL,travel
763,CONTRACT LABOR EVENTS OUTREACH,misc
7389,GOOGLE ADVERTISING,digital
4332,MEDIA BUY FOR TV AD,media
1933,RADIO ADS PRODUCTION COST - ESTIMATED,media
400,MEDIA BUY,media
825,MODELING,polling
2660,WIRE SERVICE  'SERVICE',administrative
7935,PRINT VOTER GUIDES,field
3926,AIR TIME PURCHASE - PHILLIPS CHOICE,media
4280,CABLE MEDIA BUY - TRUMP'S AMERICA ISN'T SAFE FOR WOMEN,media
